category,num_restaurants
Breakfast and Brunch-Family Meals,20
Healthy-Pasta-American-Italian-Comfort Food-Noodles-Family Meals,20
American-Sandwich-Salads,20
American-Chicken-Wings,20
Vietnamese,20
American-Comfort Food-Deli-Desserts-Dinner-Fast Food-pizza-salad-Sandwich-Everyday Essentials-Convenience-Grocery-Snacks-Home &amp; Personal Care,20
American-Deli-Sandwich-Salads-Pasta-Family Meals,20
Breakfast and Brunch-American-Sandwiches-Alcohol,20
American-Desserts,20
American-Sandwich-Comfort Food,20
Chinese-Family Friendly,20
American-Barfood-Wings-Seafood-Fish and Chips-Desserts-Fast Food-Bar Food-Sandwich,20
Deli-Sandwich,20
Burritos-Mexican-Tacos,20
American-Breakfast and Brunch-Sandwich,19
Asian-Chinese-Noodles,19
European-Modern European-Seafood,19
Breakfast and Brunch-salad-Sandwich-Pizza-Healthy-American-Chicken,19
American-Sandwiches-Burgers,19
American-Breakfast and Brunch-Cafe-Omelette-Traditional American-Family Meals,19
Coffee and Tea,19
Mexican-New Mexican-Comfort Food,19
Sandwich-New American-Comfort Food,19
Japanese-Sushi-Asian,19
Flowers-florist-Gift Store,19
Japanese-Asian,18
Breakfast and Brunch-American,18
Asian-Japanese-Healthy-Sushi,18
Spanish-Seafood-Mediterranean,18
American-Breakfast and Brunch-Coffee and Tea,18
American-BBQ-Family Meals,18
Japanese-Family Friendly,18
Korean,18
American-Seafood-Family Meals,18
Sandwiches-American-Cheese,17
American-Deli-Sandwich,17
American-Sandwich-Salads-Healthy,17
Juice and Smoothies,17
Ice Cream &amp; Frozen Yogurt-Desserts,17
Mexican-Latin American-New Mexican-Allergy Friendly,17
American-Sandwich-Chicken-Fast Food-Kids Friendly,17
Bar Food-To Share-Wings-Burgers,17
Convenience-Everyday Essentials-Snacks,16
Mexican-Latin American-New Mexican-Group Friendly,16
Indian-Vegetarian Friendly,16
Chicken Strips-Fast Food-Fried Chicken-Family Meals,16
Mexican-Latin American-New Mexican-Family Meals-Family Friendly,16
Flowers-Gift Store,16
Salads-Sandwich-Deli-Desserts-Healthy-Family Meals,16
Bubble Tea-Coffee and Tea-Juice,16
Asian-Japanese-Sushi,16
American-Bar Food-burger-Sandwiches-Burgers,16
Pizza-Italian-Comfort Food,16
American-Desserts-Kids Friendly,16
African-Ethiopian-Vegetarian,16
American-Burgers-Group Friendly,16
Breakfast and Brunch-American-Dinner-Bakery,16
Everyday Essentials-Convenience-Home &amp; Personal Care-Snacks-Pizza-American-Alcohol,16
American-Breakfast and Brunch-Coffee and Tea-Dinner-Desserts-Salads-Steak-Sandwich-Healthy-Family Meals,15
Everyday Essentials-Grocery-Convenience-Home &amp; Personal Care-Snacks,15
